feature,importance
roll_mean8,0.24805672826212638
casos,0.22999585671956177
roll_mean4,0.19573656912842383
casos_lag1,0.09097025835553343
temp_roll4,0.07155087898500549
temp_roll8,0.054926298458462045
temp,0.02864176426133691
casos_lag2,0.022670385516589286
sin_semana,0.02158240461081451
cos_semana,0.020471299775820028
hum_roll4,0.020143111960377037
temp_lag4,0.019791552270128854
tasa,0.019385585266177775
hum_lag8,0.019301769389554458
prec_roll8,0.015821909036990787
hum,0.01564268532239337
prec_roll4,0.015224377212577855
hum_lag4,0.014697470015337832
hum_roll8,0.011722160995148733
temp_lag8,0.010903364527923043
prec,0.01023605267280443
prec_lag4,0.007755493234224598
prec_lag8,0.006586822428285832
casos_lag4,0.0063755502624984976
